created_hour,created_dayofweek,created_month,is_weekend,is_business_hours,channel_online,cb_number,response_time_hours,borough,open_data_channel_type,closed_within_7_days
9.0,3.0,1.0,0.0,1.0,1.0,3.0,0.46305555555555555,QUEENS,ONLINE,1
20.0,0.0,1.0,0.0,0.0,0.0,11.0,13.137777777777778,BRONX,MOBILE,1
22.0,5.0,1.0,1.0,0.0,0.0,2.0,49.86666666666667,BROOKLYN,PHONE,1
11.0,1.0,1.0,0.0,1.0,0.0,15.0,0.7833333333333333,BROOKLYN,PHONE,1
16.0,6.0,1.0,1.0,0.0,0.0,11.0,0.8463888888888889,BROOKLYN,MOBILE,1
18.0,6.0,1.0,1.0,0.0,0.0,4.0,211.59555555555556,BROOKLYN,PHONE,0
8.0,0.0,1.0,0.0,0.0,0.0,1.0,25.768333333333334,BRONX,MOBILE,1
9.0,1.0,1.0,0.0,1.0,1.0,14.0,361.0913888888889,BROOKLYN,ONLINE,0
12.0,2.0,1.0,0.0,1.0,1.0,6.0,378.14916666666664,QUEENS,ONLINE,0
10.0,0.0,1.0,0.0,1.0,1.0,1.0,3.2911111111111113,QUEENS,ONLINE,1
18.0,5.0,1.0,1.0,0.0,1.0,12.0,211.48361111111112,BROOKLYN,ONLINE,0
12.0,2.0,1.0,0.0,1.0,1.0,5.0,861.3122222222222,BROOKLYN,ONLINE,0
10.0,5.0,1.0,1.0,0.0,1.0,11.0,0.15138888888888888,MANHATTAN,ONLINE,1
6.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,STATEN ISLAND,UNKNOWN,1
19.0,2.0,1.0,0.0,0.0,0.0,10.0,76.66666666666667,BRONX,PHONE,1
22.0,5.0,1.0,1.0,0.0,1.0,3.0,0.2475,QUEENS,ONLINE,1
7.0,6.0,1.0,1.0,0.0,0.0,14.0,26.333333333333332,QUEENS,PHONE,1
3.0,3.0,1.0,0.0,0.0,0.0,1.0,0.3333333333333333,MANHATTAN,UNKNOWN,1
16.0,2.0,1.0,0.0,1.0,1.0,3.0,112.74055555555556,MANHATTAN,ONLINE,1
16.0,3.0,1.0,0.0,1.0,1.0,5.0,6163.05,BRONX,ONLINE,0
10.0,1.0,1.0,0.0,1.0,0.0,7.0,54.31444444444445,BRONX,MOBILE,1
6.0,2.0,1.0,0.0,0.0,0.0,7.0,7.133333333333334,BRONX,UNKNOWN,1
18.0,2.0,1.0,0.0,0.0,1.0,7.0,46.954166666666666,QUEENS,ONLINE,1
13.0,1.0,1.0,0.0,1.0,0.0,12.0,1.653888888888889,QUEENS,PHONE,1
10.0,1.0,1.0,0.0,1.0,1.0,12.0,104.76583333333333,MANHATTAN,ONLINE,1
7.0,2.0,1.0,0.0,0.0,1.0,5.0,1.1694444444444445,BROOKLYN,ONLINE,1
14.0,0.0,1.0,0.0,1.0,0.0,11.0,22.505555555555556,QUEENS,UNKNOWN,1
8.0,2.0,1.0,0.0,0.0,1.0,10.0,12.705,MANHATTAN,ONLINE,1
11.0,1.0,1.0,0.0,1.0,0.0,6.0,828.8025,BROOKLYN,UNKNOWN,0
